id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q332902,"Nicholas Edwards, Baron Crickhowell",1975-02-18,1979-05-04,,Q333932,,
Q333932,"John Morris, Baron Morris of Aberavon",1979-05-04,1979-06-14,Q332902,Q4714181,,
Q4714181,Alec Jones,1979-06-14,1983-03-20,Q333932,Q338044,,
Q338044,Denzil Davies,1983-03-20,1983-10-31,Q4714181,Q809053,,
Q809053,"Barry Jones, Baron Jones",1983-10-31,1987-07-13,Q338044,Q337590,,
Q337590,Alan Williams (Swansea West MP),1987-07-13,1989-01-09,Q809053,Q809053,,
Q809053,"Barry Jones, Baron Jones",1989-01-09,1992-07-18,Q337590,Q285249,,
Q285249,Ann Clwyd,1992-07-18,1993-10-21,Q809053,Q333869,,
Q333869,Ron Davies (Welsh politician),1993-10-21,1997-05-02,Q285249,Q58282,,
Q58282,William Hague,1997-05-02,1997-06-19,Q333869,Q332962,,
Q332962,Michael Ancram,1997-06-19,1998-06-01,Q58282,Q332374,,
Q332374,Liam Fox,1998-06-01,1999-06-15,Q332962,Q259836,,
Q259836,Sir George Young,1999-06-15,2000-09-26,Q332374,Q532347,,
Q532347,Angela Browning,2000-09-26,2001-09-18,Q259836,Q303814,,
Q303814,Nigel Evans,2001-09-18,2003-11-11,Q532347,Q265900,,
Q265900,Bill Wiggin,2003-11-11,2005-12-06,Q303814,Q333852,,
Q333852,Cheryl Gillan,2005-12-06,2010-05-11,Q265900,Q333165,,
Q333165,Peter Hain,2010-05-11,2012-05-15,Q333852,Q390690,,
Q390690,Owen Smith,2012-05-15,2015-09-14,Q333165,Q392101,,
Q392101,Nia Griffith,2015-09-14,2016-06-27,Q390690,Q390611,,
Q390611,Paul Flynn (politician),2016-07-03,2016-10-06,Q392101,Q20128115,,
Q20128115,Jo Stevens,2016-10-06,2017-01-27,Q390611,Q20648332,,
Q20648332,Christina Rees (politician),2017-02-09,2020-04-06,Q20128115,Q392101,,
Q392101,Nia Griffith,2020-04-06,,Q20648332,,,
